index,weight
127,-2.985239482860030158e+00
128,2.369386147734507730e+00
129,-2.721709970255390854e+00
130,3.429139683233516145e+00
131,-2.721709970255390854e+00
132,2.369386147734507730e+00
133,-2.985239482860030158e+00
134,2.369386147734507730e+00
135,-2.193754717831179146e+00
136,2.763957747301690748e+00
137,-2.193754717831179146e+00
138,2.519962435639660381e+00
139,-3.174953717606762371e+00
140,2.519962435639660381e+00
141,-2.193754717831179146e+00
142,2.763957747301690748e+00
143,-2.193754717831179146e+00
144,2.422101579529857496e+00
145,-3.051656765033289087e+00
146,2.422101579529857496e+00
147,-2.782264100041668353e+00
148,3.505433106009312905e+00
149,-2.782264100041668353e+00
150,2.422101579529857496e+00
151,-3.051656765033289087e+00
152,2.422101579529857496e+00
153,-2.193754717831179146e+00
154,2.763957747301690748e+00
155,-2.193754717831179146e+00
156,2.519962435639660381e+00
157,-3.174953717606762371e+00
158,2.519962435639660381e+00
159,-2.193754717831179146e+00
160,2.763957747301690748e+00
161,-2.193754717831179146e+00
162,2.059784114981643377e+00
163,-2.595165364704454358e+00
164,2.059784114981643377e+00
165,-2.366070624528437527e+00
166,2.981062185381286866e+00
167,-2.366070624528437527e+00
168,2.059784114981643377e+00
169,-2.595165364704454358e+00
170,2.059784114981643377e+00
171,-2.274186041783126111e+00
172,2.865294865419662607e+00
173,-2.274186041783126111e+00
174,2.612353765153496266e+00
175,-3.291359498489017099e+00
176,2.612353765153496266e+00
177,-2.274186041783126111e+00
178,2.865294865419662607e+00
179,-2.274186041783126111e+00
180,2.059784114981643377e+00
181,-2.595165364704454358e+00
182,2.059784114981643377e+00
183,-2.366070624528437527e+00
184,2.981062185381286866e+00
185,-2.366070624528437527e+00
186,2.059784114981643377e+00
187,-2.595165364704454358e+00
188,2.059784114981643377e+00
189,-2.224689893401593288e+00
190,2.802933626185049043e+00
191,-2.224689893401593288e+00
192,2.555497620928939284e+00
193,-3.219725245564640126e+00
194,2.555497620928939284e+00
195,-2.224689893401593288e+00
196,2.802933626185049043e+00
197,-2.224689893401593288e+00
198,2.456256782480810141e+00
199,-3.094689624194625566e+00
200,2.456256782480810141e+00
201,-2.821498125486017194e+00
202,3.554864880538759042e+00
203,-2.821498125486017194e+00
204,2.456256782480810141e+00
205,-3.094689624194625566e+00
206,2.456256782480810141e+00
207,-2.224689893401593288e+00
208,2.802933626185049043e+00
209,-2.224689893401593288e+00
210,2.555497620928939284e+00
211,-3.219725245564640126e+00
212,2.555497620928939284e+00
213,-2.224689893401593288e+00
214,2.802933626185049043e+00
215,-2.224689893401593288e+00
216,2.059784114981643377e+00
217,-2.595165364704454358e+00
218,2.059784114981643377e+00
219,-2.366070624528437527e+00
220,2.981062185381286866e+00
221,-2.366070624528437527e+00
222,2.059784114981643377e+00
223,-2.595165364704454358e+00
224,2.059784114981643377e+00
225,-2.274186041783126111e+00
226,2.865294865419662607e+00
227,-2.274186041783126111e+00
228,2.612353765153496266e+00
229,-3.291359498489017099e+00
230,2.612353765153496266e+00
231,-2.274186041783126111e+00
232,2.865294865419662607e+00
233,-2.274186041783126111e+00
234,2.059784114981643377e+00
235,-2.595165364704454358e+00
236,2.059784114981643377e+00
237,-2.366070624528437527e+00
238,2.981062185381286866e+00
239,-2.366070624528437527e+00
240,2.059784114981643377e+00
241,-2.595165364704454358e+00
242,2.059784114981643377e+00
