index,weight
0,2.059784114981643377e+00
1,-2.595165364704454358e+00
2,2.059784114981643377e+00
3,-2.366070624528437527e+00
4,2.981062185381286866e+00
5,-2.366070624528437527e+00
6,2.059784114981643377e+00
7,-2.595165364704454358e+00
8,2.059784114981643377e+00
9,-2.274186041783126111e+00
10,2.865294865419662607e+00
11,-2.274186041783126111e+00
12,2.612353765153496266e+00
13,-3.291359498489017099e+00
14,2.612353765153496266e+00
15,-2.274186041783126111e+00
16,2.865294865419662607e+00
17,-2.274186041783126111e+00
18,2.059784114981643377e+00
19,-2.595165364704454358e+00
20,2.059784114981643377e+00
21,-2.366070624528437527e+00
22,2.981062185381286866e+00
23,-2.366070624528437527e+00
24,2.059784114981643377e+00
25,-2.595165364704454358e+00
26,2.059784114981643377e+00
27,-2.224689893401593288e+00
28,2.802933626185049043e+00
29,-2.224689893401593288e+00
30,2.555497620928939284e+00
31,-3.219725245564640126e+00
32,2.555497620928939284e+00
33,-2.224689893401593288e+00
34,2.802933626185049043e+00
35,-2.224689893401593288e+00
36,2.456256782480810141e+00
37,-3.094689624194625566e+00
38,2.456256782480810141e+00
39,-2.821498125486017194e+00
40,3.554864880538759042e+00
41,-2.821498125486017194e+00
42,2.456256782480810141e+00
43,-3.094689624194625566e+00
44,2.456256782480810141e+00
45,-2.224689893401593288e+00
46,2.802933626185049043e+00
47,-2.224689893401593288e+00
48,2.555497620928939284e+00
49,-3.219725245564640126e+00
50,2.555497620928939284e+00
51,-2.224689893401593288e+00
52,2.802933626185049043e+00
53,-2.224689893401593288e+00
54,2.059784114981643377e+00
55,-2.595165364704454358e+00
56,2.059784114981643377e+00
57,-2.366070624528437527e+00
58,2.981062185381286866e+00
59,-2.366070624528437527e+00
60,2.059784114981643377e+00
61,-2.595165364704454358e+00
62,2.059784114981643377e+00
63,-2.274186041783126111e+00
64,2.865294865419662607e+00
65,-2.274186041783126111e+00
66,2.612353765153496266e+00
67,-3.291359498489017099e+00
68,2.612353765153496266e+00
69,-2.274186041783126111e+00
70,2.865294865419662607e+00
71,-2.274186041783126111e+00
72,2.059784114981643377e+00
73,-2.595165364704454358e+00
74,2.059784114981643377e+00
75,-2.366070624528437527e+00
76,2.981062185381286866e+00
77,-2.366070624528437527e+00
78,2.059784114981643377e+00
79,-2.595165364704454358e+00
80,2.059784114981643377e+00
81,-2.193754717831179146e+00
82,2.763957747301690748e+00
83,-2.193754717831179146e+00
84,2.519962435639660381e+00
85,-3.174953717606762371e+00
86,2.519962435639660381e+00
87,-2.193754717831179146e+00
88,2.763957747301690748e+00
89,-2.193754717831179146e+00
90,2.422101579529857496e+00
91,-3.051656765033289087e+00
92,2.422101579529857496e+00
93,-2.782264100041668353e+00
94,3.505433106009312905e+00
95,-2.782264100041668353e+00
96,2.422101579529857496e+00
97,-3.051656765033289087e+00
98,2.422101579529857496e+00
99,-2.193754717831179146e+00
100,2.763957747301690748e+00
101,-2.193754717831179146e+00
102,2.519962435639660381e+00
103,-3.174953717606762371e+00
104,2.519962435639660381e+00
105,-2.193754717831179146e+00
106,2.763957747301690748e+00
107,-2.193754717831179146e+00
108,2.369386147734507730e+00
109,-2.985239482860030158e+00
110,2.369386147734507730e+00
111,-2.721709970255390854e+00
112,3.429139683233516145e+00
113,-2.721709970255390854e+00
114,2.369386147734507730e+00
115,-2.985239482860030158e+00
116,2.369386147734507730e+00
117,-2.616014399557660131e+00
118,3.295971608830793098e+00
119,-2.616014399557660131e+00
120,3.005011437420440856e+00
121,-3.786077165180863346e+00
122,3.005011437420440856e+00
123,-2.616014399557660131e+00
124,3.295971608830793098e+00
125,-2.616014399557660131e+00
126,2.369386147734507730e+00
