index,weight
0,1.771633385195536370e+00
1,-2.232118194704368452e+00
2,1.771633385195536370e+00
3,-2.035072355231941188e+00
4,2.564030498415859505e+00
5,-2.035072355231941188e+00
6,1.771633385195536370e+00
7,-2.232118194704368452e+00
8,1.771633385195536370e+00
9,-1.956041842668829300e+00
10,2.464458292053613775e+00
11,-1.956041842668829300e+00
12,2.246902046979053935e+00
13,-2.830919186040788738e+00
14,2.246902046979053935e+00
15,-1.956041842668829300e+00
16,2.464458292053613775e+00
17,-1.956041842668829300e+00
18,1.771633385195536370e+00
19,-2.232118194704368452e+00
20,1.771633385195536370e+00
21,-2.035072355231941188e+00
22,2.564030498415859505e+00
23,-2.035072355231941188e+00
24,1.771633385195536370e+00
25,-2.232118194704368452e+00
26,1.771633385195536370e+00
