turn,collimator,interaction_type,id_before,s_before,x_before,px_before,y_before,py_before,zeta_before,delta_before,energy_before,mass_before,charge_before,z_before,a_before,pdgid_before,id_after,s_after,x_after,px_after,y_after,py_after,zeta_after,delta_after,energy_after,mass_after,charge_after,z_after,a_after,pdgid_after
0,tcp.d6l7.b1,Exit Jaw,2919,0.6,2.553837216313851e-07,1.1788398378170892e-05,4.039502610079273e-05,4.077616323058339e-07,1.6586253814438237e-12,0.0,6800000000003.554,938272088.1604904,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
0,tcp.d6l7.b1,Exit Jaw,3336,0.6,6.807384249999683e-08,1.2065889886693094e-05,-0.0005795103064531658,8.386135035097632e-06,6.087323551132413e-13,0.0,6800000000003.554,938272088.1604904,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
0,tcp.d6l7.b1,Multiple Coulomb Scattering,2502,0.5761967892751924,-0.0,1.2287230179710801e-05,0.0002822606458937982,-4.020672783988742e-06,1.9892564087208698e-12,0.0,6800000000003.554,938272088.1604904,1,-1,-1,-1,2502,0.6,2.995217347168737e-07,1.3269510062498727e-05,0.000282155468578586,-4.320617108161948e-06,1.9892564087208698e-12,0.0,6800000000003.554,938272088.1604904,1,-1,-1,-1
0,tcp.d6l7.b1,Exit Jaw,0,0.6,3.252410524387495e-07,1.2757619686343079e-05,-0.00010319555092513771,2.1193741606745786e-06,1.9898061721899186e-12,0.0,6800000000003.554,938272088.1604904,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
0,tcp.d6l7.b1,Enter Jaw L,1,0.5839237393808083,0.0,1.2998351499726625e-05,-0.00024566934988192477,4.7612594617764495e-06,1.5403205044892477e-12,0.0,6800000000003.554,938272088.1604904,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
0,tcp.d6l7.b1,Multiple Coulomb Scattering,1,0.5839237393808083,0.0,1.2998351499726625e-05,-0.00024566934988192477,4.7612594617764495e-06,1.5403205044892477e-12,0.0,6800000000003.554,938272088.1604904,1,-1,-1,-1,1,0.6,2.1367215342878699e-07,1.3392272435974364e-05,-0.00024559308691755194,4.337265613134643e-06,1.5403205044892477e-12,0.0,6800000000003.554,938272088.1604904,1,-1,-1,-1
0,tcp.d6l7.b1,Exit Jaw,1,0.6,2.1367215342878699e-07,1.3392272435974364e-05,-0.00024559308691755194,4.337265613134643e-06,1.5403205044892477e-12,0.0,6800000000003.554,938272088.1604904,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
0,tcp.d6l7.b1,Exit Jaw,2502,0.6,2.995217347168737e-07,1.3269510062498727e-05,0.000282155468578586,-4.320617108161948e-06,1.9892564087208698e-12,0.0,6800000000003.554,938272088.1604904,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
0,tcp.d6l7.b1,Enter Jaw L,2,0.5651514391704461,0.0,1.2752358074375307e-05,-0.0002022404984230793,3.5224919006678973e-06,3.049783241917684e-12,0.0,6800000000003.554,938272088.1604904,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
0,tcp.d6l7.b1,Exit Jaw,417,0.6,3.0429711764326516e-07,1.2236346678717346e-05,-1.4004533665089416e-05,-1.315701596865908e-06,1.957538640722683e-12,0.0,6800000000003.554,938272088.1604904,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
0,tcp.d6l7.b1,Multiple Coulomb Scattering,2,0.5651514391704461,0.0,1.2752358074375307e-05,-0.0002022404984230793,3.5224919006678973e-06,3.049783241917684e-12,0.0,6800000000003.554,938272088.1604904,1,-1,-1,-1,2,0.6,4.1192520151966876e-07,1.1081312848699049e-05,-0.00020211939702598268,2.9941860516177424e-06,3.049783241917684e-12,0.0,6800000000003.554,938272088.1604904,1,-1,-1,-1
0,tcp.d6l7.b1,Exit Jaw,2,0.6,4.1192520151966876e-07,1.1081312848699049e-05,-0.00020211939702598268,2.9941860516177424e-06,3.049783241917684e-12,0.0,6800000000003.554,938272088.1604904,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
0,tcp.d6l7.b1,Enter Jaw L,3,0.5934655802952374,0.0,1.2459111032786688e-05,0.000505968499232983,-2.999388660323701e-06,5.365606954233073e-13,0.0,6800000000003.554,938272088.1604904,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
0,tcp.d6l7.b1,Multiple Coulomb Scattering,3,0.5934655802952374,0.0,1.2459111032786688e-05,0.000505968499232983,-2.999388660323701e-06,5.365606954233073e-13,0.0,6800000000003.554,938272088.1604904,1,-1,-1,-1,3,0.6,8.177506793350777e-08,1.2621557526871661e-05,0.0005059495172805145,-2.9538293799438187e-06,5.365606954233073e-13,0.0,6800000000003.554,938272088.1604904,1,-1,-1,-1
0,tcp.d6l7.b1,Exit Jaw,3,0.6,8.177506793350777e-08,1.2621557526871661e-05,0.0005059495172805145,-2.9538293799438187e-06,5.365606954233073e-13,0.0,6800000000003.554,938272088.1604904,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
0,tcp.d6l7.b1,Enter Jaw R,3753,0.5270281329274766,-0.0,1.2426725466571962e-05,1.6790445401174046e-05,-9.113454175088913e-07,5.664588286604688e-12,0.0,6800000000003.554,938272088.1604904,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
0,tcp.d6l7.b1,Enter Jaw L,4,0.5852004915356156,0.0,1.3006746134720019e-05,0.00014132760455949747,4.101317985794337e-07,1.2531013917286293e-12,0.0,6800000000003.554,938272088.1604904,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
0,tcp.d6l7.b1,Multiple Coulomb Scattering,4,0.5852004915356156,0.0,1.3006746134720019e-05,0.00014132760455949747,4.101317985794337e-07,1.2531013917286293e-12,0.0,6800000000003.554,938272088.1604904,1,-1,-1,-1,4,0.6,1.9852840850689335e-07,1.3431899949344642e-05,0.00014132964592650674,1.6777916198764257e-07,1.2531013917286293e-12,0.0,6800000000003.554,938272088.1604904,1,-1,-1,-1
0,tcp.d6l7.b1,Exit Jaw,4,0.6,1.9852840850689335e-07,1.3431899949344642e-05,0.00014132964592650674,1.6777916198764257e-07,1.2531013917286293e-12,0.0,6800000000003.554,938272088.1604904,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
0,tcp.d6l7.b1,Enter Jaw L,5,0.53643796928491,0.0,1.2707331145547812e-05,-2.0314263635794384e-05,-9.464951933122517e-07,5.160357763103335e-12,0.0,6800000000003.554,938272088.1604904,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
0,tcp.d6l7.b1,Multiple Coulomb Scattering,5,0.53643796928491,0.0,1.2707331145547812e-05,-2.0314263635794384e-05,-9.464951933122517e-07,5.160357763103335e-12,0.0,6800000000003.554,938272088.1604904,1,-1,-1,-1,5,0.6,7.460334112395489e-07,9.800536594126179e-06,-2.023174105247663e-05,3.221894475522958e-06,5.160357763103335e-12,0.0,6800000000003.554,938272088.1604904,1,-1,-1,-1
0,tcp.d6l7.b1,Exit Jaw,5,0.6,7.460334112395489e-07,9.800536594126179e-06,-2.023174105247663e-05,3.221894475522958e-06,5.160357763103335e-12,0.0,6800000000003.554,938272088.1604904,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
0,tcp.d6l7.b1,Enter Jaw L,6,0.5940303551891057,0.0,1.2268660170854268e-05,0.0008690769405393996,-1.0136675921411123e-05,7.559721501303929e-13,0.0,6800000000003.554,938272088.1604904,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
0,tcp.d6l7.b1,Multiple Coulomb Scattering,6,0.5940303551891057,0.0,1.2268660170854268e-05,0.0008690769405393996,-1.0136675921411123e-05,7.559721501303929e-13,0.0,6800000000003.554,938272088.1604904,1,-1,-1,-1,6,0.6,7.455907209064455e-08,1.2635521307996012e-05,0.0008690166217447374,-9.975409441596377e-06,7.559721501303929e-13,0.0,6800000000003.554,938272088.1604904,1,-1,-1,-1
