case,method,order,variant,n_steps,runtime_s,abs_err_x,abs_err_px,rel_err_x,rel_err_px,rel_err_max,selection
4.0,3.0,8.0,1.0,230.0,0.0003637399058789,8.020314529283887e-14,3.983987926444745e-09,0.0029952263749853,0.0002462030626377,0.0029952263749853,min_steps_under_1pct
4.0,3.0,12.0,1.0,560.0,0.0076379259116947,3.010073216592185e-18,1.190812896965758e-12,1.124126822714371e-07,7.359002779989566e-08,1.124126822714371e-07,min_error
4.0,4.0,10.0,1.0,30.0,0.0021681229118257,9.497415509067661e-14,1.213251405227152e-08,0.0035468570868496,0.0007497668598184,0.0035468570868496,min_steps_under_1pct
4.0,4.0,4.0,1.0,380.0,0.0009561621118336,2.6366191579716414e-18,5.08581078726561e-14,9.846585459851493e-08,3.1429367130094782e-09,9.846585459851493e-08,min_error
5.0,2.0,8.0,1.0,220.0,0.0003499209415167,1.4485672215607268e-13,4.140764534820405e-08,0.0020400967103188,0.0041348228443302,0.0041348228443302,min_steps_under_1pct
5.0,2.0,12.0,1.0,580.0,0.0077949820552021,3.8861880279574345e-18,1.6054286060816251e-13,5.4731318598902015e-08,1.6031249349114343e-08,5.4731318598902015e-08,min_error
5.0,3.0,8.0,1.0,220.0,0.0003538229502737,1.9123764465938285e-13,5.5149164602651824e-08,0.0026933046941265,0.0055070029635158,0.0055070029635158,min_steps_under_1pct
5.0,3.0,12.0,1.0,580.0,0.0079103491734713,4.212999190987225e-18,6.961567112432742e-14,5.933397955014334e-08,6.951577779119814e-09,5.933397955014334e-08,min_error
5.0,4.0,8.0,1.0,40.0,0.0009310361929237,1.1279413297509701e-13,3.182574298259533e-08,0.0015885416720795,0.0031780075398062,0.0031780075398062,min_steps_under_1pct
5.0,4.0,8.0,1.0,120.0,0.0026745540089905,1.78589806439756e-19,8.830831116406418e-13,2.515178247797738e-09,8.818159527663933e-08,8.818159527663933e-08,min_error
6.0,2.0,8.0,1.0,220.0,0.0003514001145958,1.5309983966906846e-13,3.9014118657095694e-08,0.0022212131757846,0.0036873116745474,0.0036873116745474,min_steps_under_1pct
6.0,2.0,12.0,1.0,560.0,0.0075531278271228,3.6991678422837824e-18,2.975185202369613e-13,5.3668510486231374e-08,2.811914124489161e-08,5.3668510486231374e-08,min_error
6.0,3.0,8.0,1.0,220.0,0.0003568050451576,2.0222473262586922e-13,5.1973703215990543e-08,0.0029339301827424,0.0049121510169737,0.0049121510169737,min_steps_under_1pct
6.0,3.0,12.0,1.0,560.0,0.0076394400093704,4.263889759189839e-18,1.575842795554887e-13,6.186164618903478e-08,1.4893642961339196e-08,6.186164618903478e-08,min_error
6.0,4.0,8.0,1.0,40.0,0.0009333100169897,1.1910715537119901e-13,3.0358879283307294e-08,0.0017280382749753,0.0028692856294257,0.0028692856294257,min_steps_under_1pct
6.0,4.0,12.0,1.0,80.0,0.0160279630217701,1.8086431660232042e-18,5.517763658225436e-13,2.624027588368091e-08,5.2149619303697974e-08,5.2149619303697974e-08,min_error
7.0,2.0,12.0,2.0,270.0,0.0040953811258077,9.948437346793913e-14,2.79345769838341e-09,0.007229812494873,0.0001877230465769,0.007229812494873,min_steps_under_1pct
