case,method,order,variant,n_steps,runtime_s,abs_err_x,abs_err_px,rel_err_x,rel_err_px
0,2,2,2,270,3.409408964216709e-05,5.686012621793868e-11,9.745051764901114e-06,0.5895411438420336,0.8637140936506404
0,2,2,2,280,3.38240060955286e-05,5.161562177620797e-11,9.47194215844958e-06,0.5351647054990757,0.8395081046118573
0,2,2,2,290,3.6139972507953644e-05,4.7050942103773604e-11,9.187314872867934e-06,0.48783687395250347,0.8142812916687157
0,2,2,2,300,3.627315163612366e-05,4.303408380993278e-11,8.895096159326878e-06,0.4461890023996758,0.7883816425541857
0,2,2,2,310,3.5807956010103226e-05,3.9492375267228987e-11,8.60058808942096e-06,0.409467611781975,0.7622790853992039
0,2,2,2,320,4.465901292860508e-05,3.635140203348986e-11,8.306526146695061e-06,0.3769011530671581,0.7362160689611148
0,2,2,2,330,3.7221936509013176e-05,3.35562050276627e-11,8.015669400366572e-06,0.3479197956610382,0.7104371324199978
0,2,2,2,340,3.861077129840851e-05,3.106352328816082e-11,7.730507772415087e-06,0.3220749982311572,0.6851629601557566
0,2,2,2,350,3.863614983856678e-05,2.8830004527791942e-11,7.452086736203878e-06,0.29891727255651585,0.6604862135621097
0,2,2,2,360,3.981287591159344e-05,2.6822959949879492e-11,7.181585421444087e-06,0.2781076923654828,0.6365114001341761
0,2,2,2,370,3.935699351131916e-05,2.5014418888198874e-11,6.9198310896090275e-06,0.2593562502370954,0.6133118409184595
0,2,2,2,380,4.20641154050827e-05,2.337941505181876e-11,6.667200312620809e-06,0.2424040889247706,0.5909209118768578
0,2,2,2,390,3.979192115366459e-05,2.1897234967409688e-11,6.423974594326045e-06,0.22703644554330496,0.5693635629886633
0,2,2,2,400,4.2786821722984314e-05,2.0549984093303763e-11,6.190255987612306e-06,0.21306778465222156,0.5486488393076552
0,2,2,2,410,4.1950028389692307e-05,1.932215183105713e-11,5.966004169369233e-06,0.2003372881781799,0.5287731669545397
0,2,2,2,420,4.240800626575947e-05,1.8200373211636306e-11,5.7510945930222e-06,0.18870638451299868,0.5097255072366127
0,2,2,2,430,4.270602948963642e-05,1.7173034864417296e-11,5.545328539629518e-06,0.17805466309382953,0.49148824748697884
0,2,2,2,440,4.815403372049332e-05,1.6230032650582435e-11,5.348456664300874e-06,0.16827736148076378,0.47403928800815687
0,2,2,2,450,4.424084909260273e-05,1.5362542070624674e-11,5.160192899967018e-06,0.15928298487983494,0.45735327437767676
