         1         1  1.000000000000E+00  1.401144932901E-03  2.683226466812E-05  0.000000000000E+00 -1.892270620124E-05  3.657857699943E-07  1.000000000000E+00   208    82  1.936876901626E+02  5.223400000000E+05 -2.634613409667E-19
         2         2  1.000000000000E+00 -1.401860981355E-03  6.380323484628E-06  0.000000000000E+00  1.893570412077E-05 -1.170955209284E-06  1.000000000000E+00   208    82  1.936876901626E+02  5.223400000000E+05 -2.647332442519E-19
         3         3  1.000000000000E+00 -1.401853695026E-03 -1.550986807962E-06  0.000000000000E+00  1.891951720917E-05  2.472499849765E-07  1.000000000000E+00   208    82  1.936876901626E+02  5.223400000000E+05 -2.633189296076E-19
         4         4  1.000000000000E+00  1.401143416972E-03  6.410618573289E-05  0.000000000000E+00 -1.892061994295E-05 -8.227592534987E-07  1.000000000000E+00   208    82  1.936876901626E+02  5.223400000000E+05 -2.638026709444E-19
         5         5  1.000000000000E+00 -1.401856716010E-03 -1.103908356893E-05  0.000000000000E+00  1.892504396853E-05  1.335349937705E-06  1.000000000000E+00   208    82  1.936876901626E+02  5.223400000000E+05 -2.647394502515E-19
         6         6  1.000000000000E+00 -1.401854566474E-03  1.213891476852E-04  0.000000000000E+00  1.892151268124E-05  2.088346659703E-06  1.000000000000E+00   208    82  1.936876901626E+02  5.223400000000E+05 -2.665372303443E-19
         7         7  1.000000000000E+00 -1.401855667907E-03  1.563094791886E-04  0.000000000000E+00  1.892318291943E-05  6.871876656364E-07  1.000000000000E+00   208    82  1.936876901626E+02  5.223400000000E+05 -2.637232994759E-19
         8         8  1.000000000000E+00  1.401140060616E-03 -1.165375611657E-04  0.000000000000E+00 -1.891288606090E-05  1.947053027454E-07  1.000000000000E+00   208    82  1.936876901626E+02  5.223400000000E+05 -2.631173979366E-19
         9         9  1.000000000000E+00  1.401138594991E-03 -1.122937498943E-04  0.000000000000E+00 -1.890954185486E-05  2.345981307946E-07  1.000000000000E+00   208    82  1.936876901626E+02  5.223400000000E+05 -2.630370465734E-19
        10        10  1.000000000000E+00 -1.401859470396E-03  1.044475130873E-04  0.000000000000E+00  1.893214041175E-05  1.909590400705E-06  1.000000000000E+00   208    82  1.936876901626E+02  5.223400000000E+05 -2.663076083594E-19
        11        11  1.000000000000E+00 -1.401858554036E-03 -4.650115794132E-05  0.000000000000E+00  1.892955606345E-05 -1.025237177515E-06  1.000000000000E+00   208    82  1.936876901626E+02  5.223400000000E+05 -2.643265879627E-19
        12        12  1.000000000000E+00 -1.401861379452E-03  1.189462787320E-04  0.000000000000E+00  1.893683131524E-05 -3.366061486066E-07  1.000000000000E+00   208    82  1.936876901626E+02  5.223400000000E+05 -2.638392536788E-19
        13        13  1.000000000000E+00  1.401141829432E-03  1.857828192319E-05  0.000000000000E+00 -1.891565976747E-05  8.183134891077E-07  1.000000000000E+00   208    82  1.936876901626E+02  5.223400000000E+05 -2.636592796906E-19
        14        14  1.000000000000E+00  1.401143868574E-03 -1.194514486477E-04  0.000000000000E+00 -1.892133743807E-05 -1.969928154420E-06  1.000000000000E+00   208    82  1.936876901626E+02  5.223400000000E+05 -2.661789155257E-19
        15        15  1.000000000000E+00  1.401145560046E-03  5.800526871201E-06  0.000000000000E+00 -1.892409642235E-05 -1.789968952470E-06  1.000000000000E+00   208    82  1.936876901626E+02  5.223400000000E+05 -2.657578874480E-19
        16        16  1.000000000000E+00  1.401140847314E-03 -8.218584215885E-05  0.000000000000E+00 -1.891405954353E-05  2.565964317795E-07  1.000000000000E+00   208    82  1.936876901626E+02  5.223400000000E+05 -2.631706388805E-19
        17        17  1.000000000000E+00 -1.401859345724E-03  1.648141030484E-04  0.000000000000E+00  1.893089378361E-05  2.481240433339E-06  1.000000000000E+00   208    82  1.936876901626E+02  5.223400000000E+05 -2.681187803461E-19
        18        18  1.000000000000E+00 -1.401859937319E-03 -5.463581329263E-05  0.000000000000E+00  1.893296756005E-05 -5.294934003797E-07  1.000000000000E+00   208    82  1.936876901626E+02  5.223400000000E+05 -2.638546053620E-19
        19        19  1.000000000000E+00 -1.401854335495E-03  1.429916200967E-04  0.000000000000E+00  1.892108546021E-05  1.724054365670E-06  1.000000000000E+00   208    82  1.936876901626E+02  5.223400000000E+05 -2.655037680962E-19
        20        20  1.000000000000E+00  1.401143929286E-03  3.964951598036E-05  0.000000000000E+00 -1.892083207164E-05  2.282328787655E-06  1.000000000000E+00   208    82  1.936876901626E+02  5.223400000000E+05 -2.671418253574E-19
        21        21  1.000000000000E+00  1.401145990405E-03 -2.998861895119E-05  0.000000000000E+00 -1.892564815410E-05 -1.253354993290E-06  1.000000000000E+00   208    82  1.936876901626E+02  5.223400000000E+05 -2.645999785764E-19
        22        22  1.000000000000E+00 -1.401858380775E-03  8.770788484734E-05  0.000000000000E+00  1.892906121805E-05  1.550455054502E-06  1.000000000000E+00   208    82  1.936876901626E+02  5.223400000000E+05 -2.653077891616E-19
        23        23  1.000000000000E+00 -1.401859354944E-03 -1.386209784510E-04  0.000000000000E+00  1.893129064874E-05 -1.305846173350E-06  1.000000000000E+00   208    82  1.936876901626E+02  5.223400000000E+05 -2.648560577175E-19
        24        24  1.000000000000E+00 -1.401856056620E-03  9.848071222148E-05  0.000000000000E+00  1.892507610878E-05  5.433163074263E-07  1.000000000000E+00   208    82  1.936876901626E+02  5.223400000000E+05 -2.636458877967E-19
        25        25  1.000000000000E+00  1.401142370125E-03 -1.209642054856E-04  0.000000000000E+00 -1.891745924307E-05 -2.603703919324E-06  1.000000000000E+00   208    82  1.936876901626E+02  5.223400000000E+05 -2.682027246564E-19
