"s","x","px"
0.,9.199999999999999e-11,0.
4.0000000000000003e-7,9.157291057364597e-11,-2.131010703936454e-6
8.000000000000001e-7,9.030218518227218e-11,-4.209739964783694e-6
1.2000000000000002e-6,8.821843328923058e-11,-6.188916874544532e-6
1.6000000000000001e-6,8.536947621133652e-11,-8.030296573765391e-6
2.0000000000000003e-6,8.18162052585905e-11,-9.707009486644802e-6
2.4000000000000003e-6,7.762787122886895e-11,-0.000011204067709078302
2.8000000000000003e-6,7.287749938567984e-11,-0.00001251730692619074
3.2000000000000003e-6,6.763795160792265e-11,-0.000013651309810753207
3.6000000000000007e-6,6.197892269401146e-11,-0.00001461690424535083
4.000000000000001e-6,5.5964939974703875e-11,-0.00001542871526121399
4.4e-6,4.965427804228432e-11,-0.000016103070563624745
4.800000000000001e-6,4.3098617468510254e-11,-0.000016656384606633008
5.200000000000001e-6,3.634325258017728e-11,-0.000017104021455291663
5.600000000000001e-6,2.94276694311812e-11,-0.00001745956567551424
6.e-6,2.23863504135386e-11,-0.000017734401209346687
6.4000000000000006e-6,1.5249702210147317e-11,-0.00001793750015951616
6.800000000000001e-6,8.045040699955582e-12,-0.00001807533684524611
7.200000000000001e-6,7.975962891184495e-13,-0.000018151862487569363
7.6e-6,-6.4684749198420335e-12,-0.00001816849528770427
8.000000000000001e-6,-1.3729074171219898e-11,-0.000018124098206853204
8.400000000000001e-6,-2.0959129546374798e-11,-0.00001801493268575363
8.8e-6,-2.8131542476461192e-11,-0.000017834592022371338
9.2e-6,-3.5216106567878545e-11,-0.000017573934422361504
9.600000000000001e-6,-4.217840594875582e-11,-0.00001722105604046791
0.00001,-4.897872090334963e-11,-0.000016761367175306284
0.000010400000000000002,-5.5570999308643546e-11,-0.000016177862542163623
0.0000108,-6.190199413110894e-11,-0.000015451702753216762
0.000011200000000000001,-6.791071828559913e-11,-0.000014563242663597083
0.0000116,-7.352842174318578e-11,-0.000013493632694033925
0.000012,-7.867933769161894e-11,-0.000012227066746590371
0.0000124,-8.328245086073395e-11,-0.000010753621270925623
0.000012800000000000001,-8.725448100263517e-11,-9.072428130189389e-6
0.0000132,-9.051412001784694e-11,-7.194661938470491e-6
0.000013600000000000002,-9.298730551196495e-11,-5.1455981775037245e-6
0.000014000000000000001,-9.461299522216588e-11,-2.964933263030711e-6
0.000014400000000000003,-9.534861757750656e-11,-7.047851425501863e-7
0.0000148,-9.517424070255335e-11,1.5746634103339052e-6
0.0000152,-9.409462785994138e-11,3.8112072023808045e-6
0.0000156,-9.213874020532589e-11,5.947102728513588e-6
0.000016000000000000003,-8.935679490490917e-11,7.934588306533518e-6
0.000016400000000000002,-8.581549464687886e-11,9.73937950384866e-6
0.000016800000000000002,-8.159234250519356e-11,0.000011341741670050584
0.0000172,-7.676997530451478e-11,0.000012735416845687758
0.0000176,-7.143124103215298e-11,0.00001392511293876605
0.000018,-6.56554312827803e-11,0.000014923367817534598
0.0000184,-5.951577781974788e-11,0.000015747457587383834
0.0000188,-5.3078102891060154e-11,0.000016416765832893883
0.000019200000000000003,-4.6400397811248454e-11,0.000016950785033236132
0.000019600000000000002,-3.953307290126768e-11,0.000017367747340485173
0.00002,-3.251964532575838e-11,0.00001768378326318237
0.0000204,-2.539768001846227e-11,0.000017912474556840182
0.000020800000000000004,-1.8199852740143597e-11,0.000018064670620553506
0.0000212,-1.0955052227917714e-11,0.00001814846094161598
0.0000216,-3.689475959378157e-12,0.000018169223452298557
0.000022000000000000003,3.5722991998294816e-12,0.000018129694974758665
0.000022400000000000002,1.0806273301483401e-11,0.000018030031410562623
0.000022800000000000002,1.7987999116148982e-11,0.000017867844495185614
0.0000232,2.5091568026164706e-11,0.000017638217025511494
0.0000236,3.208860043908074e-11,0.00001733371450862298
0.000024,3.894724552796611e-11,0.00001694442728715356
0.0000244,4.563121233824028e-11,0.00001645809567236102
0.0000248,5.209887928361883e-11,0.000015860390435514286
0.000025200000000000003,5.830256181065122e-11,0.000015135439603029317
0.000025600000000000002,6.418805688875837e-11,0.000014266702691737067
0.000026000000000000002,6.969462257129652e-11,0.000013238285101650383
0.0000264,7.47555809018475e-11,0.000012036742680958686
0.000026800000000000004,7.929973589848562e-11,0.000010653335023719995
0.000027200000000000004,8.325375410494295e-11,9.086539453510813e-6
0.000027600000000000003,8.654554445376041e-11,7.344455691134078e-6
0.000028000000000000003,8.910849055352423e-11,5.446564708444459e-6
0.000028400000000000006,9.088615699987033e-11,3.4242437149004876e-6
0.000028800000000000005,9.183686981492915e-11,1.3195663005308404e-6
0.000029199999999999998,9.19374460489854e-11,-8.177331413658755e-7
0.0000296,9.118539565879627e-11,-2.934757719940968e-6
0.00003,8.959916343222391e-11,-4.980584832056169e-6
0.0000304,8.721636194474891e-11,-6.911001406544747e-6
0.0000308,8.40903465066548e-11,-8.691936502302189e-6
0.0000312,8.028576820220382e-11,-0.000010301099056051161
0.0000316,7.587383636909694e-11,-0.000011727833577987953
0.000032000000000000005,7.092793176059216e-11,-0.000012971601052482369
0.0000324,6.552000489687779e-11,-0.000014039673418431952
0.000032800000000000004,5.971795798996517e-11,-0.000014944604867745995
0.0000332,5.358401092995875e-11,-0.000015701893986749853
0.000033600000000000004,4.717392313126343e-11,-0.000016328065397138507
0.000034000000000000007,4.053688496810441e-11,-0.00001683924195539188
0.0000344,3.371588654535556e-11,-0.000017250174411653694
0.000034800000000000006,2.6748397089555388e-11,-0.000017573642096358836
0.0000352,1.96672267804766e-11,-0.000017820123212733055
0.0000356,1.250148252353492e-11,-0.00001799764042366675
0.000036,5.2775636109199885e-12,-0.00001811170463649776
0.000036400000000000004,-1.979829937395498e-12,-0.00001816529993136809
0.0000368,-9.24668455132838e-12,-0.00001815887129391995
0.0000372,-1.6498652113878926e-11,-0.000018090293774333705
0.0000376,-2.3710011662618026e-11,-0.000017954817104176846
0.000038,-3.085260540972687e-11,-0.000017744995586694518
0.000038400000000000005,-3.7894747953360047e-11,-0.000017450630572777222
0.0000388,-4.4800122714066135e-11,-0.00001705877394650446
0.000039200000000000004,-5.1526703780635236e-11,-0.000016553866334677874
0.00003960000000000001,-5.802577639670556e-11,-0.00001591811126949126
0.00004,-6.424117497176927e-11,-0.000015132211158189187
0.000040400000000000006,-7.010891068941114e-11,-0.000014176601333359502
0.0000408,-7.555741210623729e-11,-0.000013033295389822061
0.000041200000000000005,-8.050863374033058e-11,-0.000011688375260942689
0.00004160000000000001,-8.488027231448596e-11,-0.000010135000147949006
0.000042,-8.858923703876275e-11,-8.376587299060898e-6
