"s","x","px"
0.,3.6e-11,5.2e-6
4.0000000000000003e-7,3.799918452906475e-11,4.7913754204200764e-6
8.000000000000001e-7,3.982953297586668e-11,4.356008740986016e-6
1.2000000000000002e-6,4.148060192653154e-11,3.895233995821717e-6
1.6000000000000001e-6,4.2942563451225075e-11,3.410798114801344e-6
2.0000000000000003e-6,4.42063733858959e-11,2.904873604210442e-6
2.4000000000000003e-6,4.52639411579895e-11,2.38005356358965e-6
2.8000000000000003e-6,4.6108293918383084e-11,1.8393279712684703e-6
3.2000000000000003e-6,4.6733727290541377e-11,1.2860403651408618e-6
3.6000000000000007e-6,4.713593501247259e-11,7.238260627602343e-7
4.000000000000001e-6,4.731211065051739e-11,1.5653478823311772e-7
4.4e-6,4.726101565716848e-11,-4.118594801400692e-7
4.800000000000001e-6,4.6983009820816783e-11,-9.773555048369189e-7
5.200000000000001e-6,4.6480042404213105e-11,-1.5360234684856288e-6
5.600000000000001e-6,4.5755604424843233e-11,-2.084099507464045e-6
6.e-6,4.481464488929472e-11,-2.61807065736928e-6
6.4000000000000006e-6,4.366345571960935e-11,-3.1347457424047424e-6
6.800000000000001e-6,4.2309531714074367e-11,-3.631308946696969e-6
7.200000000000001e-6,4.076141282317541e-11,-4.105354420270037e-6
7.6e-6,3.902851652600705e-11,-4.554901378488631e-6
8.000000000000001e-6,3.712096783757512e-11,-4.9783909472571295e-6
8.400000000000001e-6,3.5049433908375014e-11,-5.374666857143267e-6
8.8e-6,3.2824969149291355e-11,-5.74294270414735e-6
9.2e-6,3.0458875587085624e-11,-6.082758990925232e-6
9.600000000000001e-6,2.796258185629155e-11,-6.393933482053151e-6
0.00001,2.5347542928093563e-11,-6.67650765543423e-6
0.000010400000000000002,2.262516153059925e-11,-6.9306921919857445e-6
0.0000108,1.980673120354451e-11,-7.1568136833069525e-6
0.000011200000000000001,1.690340014172239e-11,-7.355264164061002e-6
0.0000116,1.3926154348820016e-11,-7.526455243048778e-6
0.000012,1.0885818309680846e-11,-7.670776621443981e-6
0.0000124,7.793070965644139e-12,-7.788560741697391e-6
0.000012800000000000001,4.65847482023496e-12,-7.880052880018189e-6
0.0000132,1.4925158014938565e-12,-7.94538714296576e-6
0.000013600000000000002,-1.6943484480207455e-12,-7.984568317093503e-6
0.000014000000000000001,-4.891634197016641e-12,-7.997459625005189e-6
0.000014400000000000003,-8.088773488214529e-12,-7.983776143373414e-6
0.0000148,-1.1275054734332051e-11,-7.943085037429643e-6
0.0000152,-1.443956441557197e-11,-7.874811237360172e-6
0.0000156,-1.7571132605263484e-11,-7.778250406955932e-6
0.000016000000000000003,-2.0658285038859e-11,-7.652589133569883e-6
0.000016400000000000002,-2.368920478749762e-11,-7.496932848249882e-6
0.000016800000000000002,-2.6651706693742152e-11,-7.310341761640781e-6
0.0000172,-2.953322791913685e-11,-7.091875370080807e-6
0.0000176,-3.2320838054621195e-11,-6.840645899440062e-6
0.000018,-3.500127223451552e-11,-6.555879597402133e-6
0.0000184,-3.7560990194515974e-11,-6.236985327238188e-6
0.0000188,-3.9986264028487245e-11,-5.883628677456599e-6
0.000019200000000000003,-4.226329623948851e-11,-5.495808988872951e-6
0.000019600000000000002,-4.437836858642917e-11,-5.07393563551923e-6
0.00002,-4.6318020580923e-11,-4.618899170618416e-6
0.0000204,-4.806925455904533e-11,-4.132132151220846e-6
0.000020800000000000004,-4.961976209441659e-11,-3.6156540543084364e-6
0.0000212,-5.095816427705169e-11,-3.0720948999475758e-6
0.0000216,-5.207425637214932e-11,-2.5046927525874808e-6
0.000022000000000000003,-5.2959245682796205e-11,-1.917261869911148e-6
0.000022400000000000002,-5.360597053774576e-11,-1.3141301654071286e-6
0.000022800000000000002,-5.400908826967403e-11,-7.000471110678608e-7
0.0000232,-5.4165221090347154e-11,-8.006616208969599e-8
0.0000236,-5.4073050791205264e-11,5.405922034601599e-7
0.000024,-5.373335622830818e-11,1.1566881729019132e-6
0.0000244,-5.3148991139983547e-11,1.7631115632480358e-6
0.0000248,-5.232480374833613e-11,2.355022382312401e-6
0.000025200000000000003,-5.1267503317436034e-11,2.9279741198452554e-6
0.000025600000000000002,-4.9985482030295415e-11,3.478012913844053e-6
0.000026000000000000002,-4.8488602855844256e-11,4.001747896556339e-6
0.0000264,-4.678796537385018e-11,4.496390948357377e-6
0.000026800000000000004,-4.489566175563413e-11,4.9597664950351074e-6
0.000027200000000000004,-4.2824534365221935e-11,5.390294220053324e-6
0.000027600000000000003,-4.0587944971937066e-11,5.7869491463258915e-6
0.000028000000000000003,-3.8199563585086865e-11,6.149204350150994e-6
