"s","x","px"
0.,-3.6e-11,-5.299999999999999e-6
4.0000000000000003e-7,-3.805514082091303e-11,-4.971026596955992e-6
8.000000000000001e-7,-3.997311478849353e-11,-4.614265573992893e-6
1.2000000000000002e-6,-4.174294963403664e-11,-4.230489601776944e-6
1.6000000000000001e-6,-4.3354055135733494e-11,-3.8208420051482745e-6
2.0000000000000003e-6,-4.479637753556439e-11,-3.386865573990129e-6
2.4000000000000003e-6,-4.606056301738368e-11,-2.9305187637545053e-6
2.8000000000000003e-6,-4.713812473270656e-11,-2.4541767461880594e-6
3.2000000000000003e-6,-4.8021606838978576e-11,-1.960615188468275e-6
3.6000000000000007e-6,-4.870473847274977e-11,-1.4529760838667577e-6
4.000000000000001e-6,-4.9182570418170136e-11,-9.347155687408682e-7
4.4e-6,-4.9451587598341115e-11,-4.095355899969641e-7
4.800000000000001e-6,-4.950979145401917e-11,1.186977021771197e-7
5.200000000000001e-6,-4.935674771010677e-11,6.46044668999084e-7
5.600000000000001e-6,-4.899359683990751e-11,1.1685870858739292e-6
6.e-6,-4.842302664476385e-11,1.6825217648138762e-6
6.4000000000000006e-6,-4.764920849517739e-11,2.184247780582727e-6
6.800000000000001e-6,-4.667770076881762e-11,2.6704425726086352e-6
7.200000000000001e-6,-4.5515324697855296e-11,3.138123279901639e-6
7.6e-6,-4.4170019045612244e-11,3.5846909722540333e-6
8.000000000000001e-6,-4.26506807112673e-11,4.007956737940267e-6
8.400000000000001e-6,-4.0966998499414263e-11,4.406149901422355e-6
8.8e-6,-3.912928693715212e-11,4.777909942486115e-6
9.2e-6,-3.7148326230369935e-11,5.122264216191066e-6
9.600000000000001e-6,-3.5035213483031956e-11,5.4385945445417805e-6
0.00001,-3.2801229019013856e-11,5.726595558470573e-6
0.000010400000000000002,-3.0457720481215933e-11,5.986227956946692e-6
0.0000108,-2.8016006195490226e-11,6.217669383353504e-6
0.000011200000000000001,-2.5487298230541617e-11,6.421265405180226e-6
0.0000116,-2.288264474974662e-11,6.597482393096356e-6
0.000012,-2.0212890547880166e-11,6.74686388734543e-6
0.0000124,-1.7488654185267666e-11,6.869991397008303e-6
0.000012800000000000001,-1.4720319798903765e-11,6.96745028912597e-6
0.0000132,-1.1918041486314056e-11,7.039801062764954e-6
0.000013600000000000002,-9.091758081986786e-12,7.087556118165458e-6
0.000014000000000000001,-6.251216137494142e-12,7.111161944561078e-6
0.000014400000000000003,-3.4059989708684033e-12,7.110986551083076e-6
0.0000148,-5.655597289473149e-13,7.087311939694271e-6
0.0000152,2.2607435127279573e-12,7.040331404863118e-6
0.0000156,5.063612500696516e-12,6.970151461567181e-6
0.000016000000000000003,7.833775223431995e-12,6.876798233396489e-6
0.000016400000000000002,1.0561955756849109e-11,6.760228167754843e-6
0.000016800000000000002,1.3238849231232752e-11,6.620342920306984e-6
0.0000172,1.5855103570445507e-11,6.457008287155999e-6
0.0000176,1.840130958297594e-11,6.270077004570835e-6
0.000018,2.0868000896165767e-11,6.059415070543755e-6
0.0000184,2.3245665072376118e-11,5.824931357622196e-6
0.0000188,2.5524767102731507e-11,5.5666096613197266e-6
0.000019200000000000003,2.7695786127240546e-11,5.284542693772039e-6
0.000019600000000000002,2.974926594185213e-11,4.978966809375176e-6
0.00002,3.1675879347760145e-11,4.65029627334303e-6
0.0000204,3.3466505871164217e-11,4.299155571228758e-6
0.000020800000000000004,3.5112321727107524e-11,3.9264080435052245e-6
0.0000212,3.660490021014227e-11,3.5331790686606613e-6
0.0000216,3.7936319970847585e-11,3.1208720142316487e-6
0.000022000000000000003,3.9099277934555314e-11,2.691175251830335e-6
0.000022400000000000002,4.008720305211306e-11,2.2460590650540717e-6
0.000022800000000000002,4.0894366566974886e-11,1.7877613373985562e-6
0.0000232,4.151598430900169e-11,1.3187619012629963e-6
0.0000236,4.194830651681321e-11,8.417460153005543e-7
0.000024,4.2188691048725344e-11,3.595580977278513e-7
0.0000244,4.223565644876158e-11,-1.2485237671598128e-7
0.0000248,4.2088912235890745e-11,-6.084902031507756e-7
0.000025200000000000003,4.1749364889962076e-11,-1.088376084759399e-6
0.000025600000000000002,4.121909922690076e-11,-1.561607530661747e-6
0.000026000000000000002,4.050133610213344e-11,-2.0254158579123675e-6
0.0000264,3.9600368582499964e-11,-2.477216427659895e-6
0.000026800000000000004,3.852147968045521e-11,-2.914650195985146e-6
0.000027200000000000004,3.727084556279855e-11,-3.335614694927634e-6
0.000027600000000000003,3.585542857798997e-11,-3.738283830458759e-6
0.000028000000000000003,3.428286464075209e-11,-4.1211163560410056e-6
0.000028400000000000006,3.256134940010813e-11,-4.482853635691387e-6
0.000028800000000000005,3.069952726504807e-11,-4.822507807929099e-6
0.000029199999999999998,2.8706386831953013e-11,-5.139341900027065e-6
0.0000296,2.6591165594442083e-11,-5.432843596358249e-6
0.00003,2.4363266107657617e-11,-5.7026944972294565e-6
0.0000304,2.203218505940259e-11,-5.948736611568182e-6
0.0000308,1.9607456031219837e-11,-6.170937661623345e-6
0.0000312,1.70986061340766e-11,-6.369356611825766e-6
0.0000316,1.4515126197105565e-11,-6.544110547758178e-6
0.000032000000000000005,1.1866453782848521e-11,-6.695343797278891e-6
0.0000324,9.161967988484845e-12,-6.8231999707649926e-6
0.000032800000000000004,6.410994764419659e-12,-6.927797402434227e-6
0.0000332,3.622821319597204e-12,-7.0092083182705945e-6
0.000033600000000000004,8.067180733391246e-13,-7.067441966253357e-6
0.000034000000000000007,-2.0280334633336363e-12,-7.102431864419089e-6
0.0000344,-4.872108551723595e-12,-7.114027301666777e-6
0.000034800000000000006,-7.7161045629345e-12,-7.101989226130779e-6
0.0000352,-1.0550505573886691e-11,-7.065990680849567e-6
0.0000356,-1.3365648077311268e-11,-7.005621964239321e-6
0.000036,-1.6151689734027945e-11,-6.9204007269730885e-6
0.000036400000000000004,-1.889858318956955e-11,-6.809787219651895e-6
0.0000368,-2.159605705007392e-11,-6.673204882984197e-6
0.0000372,-2.423360618809015e-11,-6.510066406892958e-6
0.0000376,-2.6800493565730697e-11,-6.3198052541435855e-6
0.000038,-2.928576573357407e-11,-6.101912454036641e-6
0.000038400000000000005,-3.1678284025912323e-11,-5.8559781882453215e-6
0.0000388,-3.3966773225642946e-11,-5.581737383707629e-6
0.000039200000000000004,-3.613988905009991e-11,-5.279117999975936e-6
0.00003960000000000001,-3.818630523958161e-11,-4.948290394815263e-6
0.00004,-4.009482023900704e-11,-4.589715537972011e-6
0.000040400000000000006,-4.185448251275695e-11,-4.204189493354284e-6
0.0000408,-4.345473241840943e-11,-3.7928812524110777e-6
0.000041200000000000005,-4.488555735295825e-11,-3.357360731982075e-6
0.00004160000000000001,-4.6137655661823976e-11,-2.8996140881822963e-6
0.000042,-4.7202603668628435e-11,-2.422043649908388e-6
0.0000424,-4.807301927411298e-11,-1.927450588197337e-6
0.000042800000000000004,-4.8742715008882015e-11,-1.418999451435688e-6
0.0000432,-4.920683330380947e-11,-9.001649055787176e-7
0.0000436,-4.9461957162874766e-11,-3.746623980224768e-7
0.000044000000000000006,-4.950619037706771e-11,1.5363418889427428e-7
0.0000444,-4.933920288024877e-11,6.807836928754102e-7
0.000044800000000000005,-4.8962238705545026e-11,1.2028726412653347e-6
0.0000452,-4.83780860926541e-11,1.7161086234314087e-6
0.000045600000000000004,-4.759101142941725e-11,2.2169069232032677e-6
0.00004600000000000001,-4.660666068919118e-11,2.7019657166152134e-6
0.0000464,-4.5431933669512895e-11,3.168326358814195e-6
0.000046800000000000006,-4.4074837515040864e-11,3.6134164278033616e-6
0.0000472,-4.2544326648908404e-11,4.035074589521762e-6
0.000047600000000000005,-4.08501363398115e-11,4.431557718230305e-6
0.000048,-3.9002616741507435e-11,4.80153175169011e-6
0.000048400000000000004,-3.701257346131287e-11,5.144048628640715e-6
0.0000488,-3.489111966000755e-11,5.458512199999522e-6
0.0000492,-3.264954348416794e-11,5.744636174689032e-6
