"s","x","px"
0.,3.6e-11,-5.2e-6
4.0000000000000003e-7,3.384287803836519e-11,-5.5809348290099275e-6
8.000000000000001e-7,3.153902556437728e-11,-5.933579102262106e-6
1.2000000000000002e-6,2.9099827973047954e-11,-6.257632612152528e-6
1.6000000000000001e-6,2.6536739435584775e-11,-6.553042972942619e-6
2.0000000000000003e-6,2.3861194475779044e-11,-6.819951540468743e-6
2.4000000000000003e-6,2.1084541393319144e-11,-7.0586392524702356e-6
2.8000000000000003e-6,1.8217996890375608e-11,-7.269474733933318e-6
3.2000000000000003e-6,1.527262079261125e-11,-7.452866182562426e-6
3.6000000000000007e-6,1.2259309058052422e-11,-7.6092178971630885e-6
4.000000000000001e-6,9.188803162007582e-12,-7.738892045018086e-6
4.4e-6,6.071713603890898e-12,-7.842176455484985e-6
4.800000000000001e-6,2.918555198106297e-12,-7.919257773864508e-6
5.200000000000001e-6,-2.6020811196959146e-13,-7.970200767281653e-6
5.600000000000001e-6,-3.4541113501884026e-12,-7.994933406462757e-6
6.e-6,-6.65263173680486e-12,-7.993237775751865e-6
6.4000000000000006e-6,-9.845129549900829e-12,-7.964747166066895e-6
6.800000000000001e-6,-1.3020789095620915e-11,-7.90894923688618e-6
7.200000000000001e-6,-1.6168562069925805e-11,-7.825195674346291e-6
7.6e-6,-1.9277116345610277e-11,-7.712719155096237e-6
8.000000000000001e-6,-2.2334793005945952e-11,-7.570657588358599e-6
8.400000000000001e-6,-2.5329574589091796e-11,-7.398086510112284e-6
8.8e-6,-2.824906798798842e-11,-7.194059651224447e-6
9.2e-6,-3.108050534953094e-11,-6.957658430990602e-6
9.600000000000001e-6,-3.38107664274742e-11,-6.688049856280541e-6
0.00001,-3.642642562804037e-11,-6.384551687785531e-6
0.000010400000000000002,-3.8913826604852264e-11,-6.046704717156707e-6
0.0000108,-4.1259186577568727e-11,-5.6743488839169085e-6
0.000011200000000000001,-4.3448731279415394e-11,-5.26769980014484e-6
0.0000116,-4.546886052314572e-11,-4.8274237345326775e-6
0.000012,-4.730634176450192e-11,-4.354702928548231e-6
0.0000124,-4.894852772330166e-11,-3.851288767453072e-6
0.000012800000000000001,-5.038359150172152e-11,-3.3195355661431335e-6
0.0000132,-5.1600770567334276e-11,-2.762410231815629e-6
